RC_Division,Year,Total_Regions,Total_Chapters,Total_Counties,Total_Households,Poverty_Households,ALICE_Households,Above_ALICE_Households,Poverty_Rate_Pct,ALICE_Rate_Pct,Combined_Rate_Pct
Central Atlantic Division,2010,6,27,307,10790180,1329355,2877575,6583250,12.32,26.67,38.99
Central Atlantic Division,2012,6,27,307,10876012,1408921,3020341,6446750,12.95,27.77,40.73
Central Atlantic Division,2014,6,27,307,10994120,1427610,3019114,6547396,12.99,27.46,40.45
Central Atlantic Division,2016,6,27,307,11091017,1385980,3018500,6686537,12.5,27.22,39.71
Central Atlantic Division,2018,6,27,307,11234206,1350741,3085363,6798102,12.02,27.46,39.49
Central Atlantic Division,2019,6,27,307,11294208,1311688,2960693,7021827,11.61,26.21,37.83
Central Atlantic Division,2021,6,27,307,11648066,1399387,3133503,7115176,12.01,26.9,38.92
Central Atlantic Division,2022,6,27,307,11757305,1423867,3269855,7063583,12.11,27.81,39.92
Central Atlantic Division,2023,6,27,307,11849453,1423058,3230598,7195797,12.01,27.26,39.27
North Central Division,2010,6,29,522,16312007,2112176,3782154,10417677,12.95,23.19,36.13
North Central Division,2012,6,29,522,16380236,2230222,3719898,10430116,13.62,22.71,36.32
North Central Division,2014,6,29,522,16457818,2199065,3899219,10359534,13.36,23.69,37.05
North Central Division,2016,6,29,522,16645900,2098971,3958261,10588668,12.61,23.78,36.39
North Central Division,2018,6,29,522,16879907,2029783,4065530,10784594,12.02,24.09,36.11
North Central Division,2019,6,29,522,16946603,1948120,4006382,10992101,11.5,23.64,35.14
North Central Division,2021,6,29,522,17310817,2057118,4292430,10961269,11.88,24.8,36.68
North Central Division,2022,6,29,522,17526941,2095271,4526485,10905185,11.95,25.83,37.78
North Central Division,2023,6,29,522,17641635,2111459,4504304,11025872,11.97,25.53,37.5
Northeast Division,2010,8,24,174,17216228,2162271,4710192,10343765,12.56,27.36,39.92
Northeast Division,2012,8,24,174,17310738,2285350,4766534,10258854,13.2,27.54,40.74
Northeast Division,2014,8,24,174,17343272,2313905,4861337,10168030,13.34,28.03,41.37
Northeast Division,2016,8,24,174,17267557,2186819,4952665,10128073,12.66,28.68,41.35
Northeast Division,2018,8,24,174,17632092,2149816,5042535,10439741,12.19,28.6,40.79
Northeast Division,2019,8,24,174,17784933,2114855,4868315,10801763,11.89,27.37,39.26
Northeast Division,2021,8,24,174,18371957,2307054,5191434,10873469,12.56,28.26,40.81
Northeast Division,2022,7,23,166,17145099,2226306,4991322,9927471,12.99,29.11,42.1
Northeast Division,2023,7,23,166,17239375,2207518,5252394,9779463,12.81,30.47,43.27
Not Assigned,2010,1,1,1,2782,506,1035,1241,18.19,37.2,55.39
Not Assigned,2012,1,1,1,2723,646,769,1308,23.72,28.24,51.96
Not Assigned,2022,1,1,9,1430904,151105,412407,867392,10.56,28.82,39.38
Not Assigned,2023,1,1,9,1442969,160037,420483,862449,11.09,29.14,40.23
Pacific Division,2010,4,11,124,5137868,658703,1233959,3245206,12.82,24.02,36.84
Pacific Division,2012,4,11,124,5187758,695647,1273919,3218192,13.41,24.56,37.97
Pacific Division,2014,4,11,124,5260173,691045,1341157,3227971,13.14,25.5,38.63
Pacific Division,2016,4,11,124,5403879,638653,1423902,3341324,11.82,26.35,38.17
Pacific Division,2018,4,11,124,5610714,604246,1515701,3490767,10.77,27.01,37.78
Pacific Division,2019,4,11,124,5680857,588858,1509007,3582992,10.37,26.56,36.93
Pacific Division,2021,4,11,124,5883279,634554,1634876,3613849,10.79,27.79,38.57
Pacific Division,2022,4,11,124,5971300,644375,1698133,3628792,10.79,28.44,39.23
Pacific Division,2023,4,11,124,6047677,655939,1777578,3614160,10.85,29.39,40.24
Southeast and Caribbean Division,2010,7,48,617,21329351,3429697,6281238,11618416,16.08,29.45,45.53
Southeast and Caribbean Division,2012,7,48,617,21680949,3628489,6575727,11476733,16.74,30.33,47.07
Southeast and Caribbean Division,2014,7,48,617,22018004,3645739,6896337,11475928,16.56,31.32,47.88
Southeast and Caribbean Division,2016,7,48,617,22572919,3436503,6943505,12192911,15.22,30.76,45.98
Southeast and Caribbean Division,2018,7,48,617,23099716,3325953,7342976,12430787,14.4,31.79,46.19
Southeast and Caribbean Division,2019,7,48,617,23387378,3216080,7517310,12653988,13.75,32.14,45.89
Southeast and Caribbean Division,2021,7,48,617,24502864,3418964,7744246,13339654,13.95,31.61,45.56
Southeast and Caribbean Division,2022,7,48,617,25137984,3416391,8099518,13622075,13.59,32.22,45.81
Southeast and Caribbean Division,2023,7,48,617,25583749,3501450,7994185,14088114,13.69,31.25,44.93
Southwest and Rocky Mountain Division,2010,8,31,603,15631180,2417470,4053671,9160039,15.47,25.93,41.4
Southwest and Rocky Mountain Division,2012,8,31,603,15959131,2539245,4225533,9194353,15.91,26.48,42.39
Southwest and Rocky Mountain Division,2014,8,31,603,16314342,2561227,4591310,9161805,15.7,28.14,43.84
Southwest and Rocky Mountain Division,2016,8,31,603,16693262,2447984,4705185,9540093,14.66,28.19,42.85
Southwest and Rocky Mountain Division,2018,8,31,603,17018038,2414095,5086363,9517580,14.19,29.89,44.07
Southwest and Rocky Mountain Division,2019,8,31,603,17271907,2343556,5050860,9877491,13.57,29.24,42.81
Southwest and Rocky Mountain Division,2021,8,31,603,18186418,2528441,5273651,10384326,13.9,29.0,42.9
Southwest and Rocky Mountain Division,2022,8,31,603,18599808,2567406,5430685,10601717,13.8,29.2,43.0
Southwest and Rocky Mountain Division,2023,8,31,603,18893086,2565018,5377335,10950733,13.58,28.46,42.04
